Unnamed: 0,parent_job,failure_array,failure_prob,first_failure,last_failure,averag_failure_position,APFD
0,4493957,365,0.002507659,351,566,164,0.6408867
0,4494328,2,0.057603687,352,325,89,0.542036125
0,4494733,23,0.018461611,363,590,157,0.752216749
0,4496449,380,0.002507659,125,143,214,0.626108374
0,4498383,291,0.002507659,352,557,417,0.714916585
0,4499706,390,0.002507659,275,418,27,0.624034749
0,4500641,385,0.002507659,253,94,492,0.621182266
0,4501179,385,0.002507659,206,205,47,0.621182266
0,4501345,366,0.002507659,276,333,29,0.545648604
0,4501556,110,0.00378782,194,426,472,0.733497537
0,4501760,386,0.002507659,359,515,346,0.589655172
0,4502015,398,0.002507659,410,250,432,0.608374384
0,4502231,330,0.002507659,334,206,186,0.624137931
0,4502562,385,0.002507659,129,521,108,0.621182266
0,4502797,301,0.002507659,213,353,397,0.663546798
0,4504078,385,0.002507659,151,578,221,0.621182266
0,4504508,399,0.002507659,343,146,424,0.607389163
0,4505002,378,0.002507659,127,140,310,0.628078818
0,4505349,1,1,165,173,472,0.822211318
0,4505850,823,0.001150468,397,192,469,0.191248771
0,4507737,296,0.002507659,121,72,394,0.444156293
0,4511054,24,0.018461611,255,285,519,0.976847291
0,4511474,12,0.018461611,240,102,330,0.983759843
0,4511825,424,0.002507659,98,154,229,0.582758621
0,4512092,450,0.002507659,296,410,157,0.557142857
0,4512491,473,0.002507659,202,185,340,0.53539823
0,4512821,22,0.018461611,147,178,387,0.661083744
0,4513177,449,0.002507659,113,459,46,0.558128079
0,4513396,418,0.002507659,241,610,136,0.48605643
0,4513910,473,0.002507659,69,143,451,0.495192308
0,4514433,435,0.002507659,152,338,486,0.367980296
0,4517264,8,0.018461611,46,157,154,0.548275862
0,4517487,376,0.002507659,303,302,428,0.630049261
0,4518027,18,0.018461611,222,91,368,0.689341229
0,4518479,16,0.018461611,387,116,283,0.588423645
0,4518782,348,0.002507659,358,532,123,0.657635468
0,4519015,7,0.018461611,382,83,407,0.791748527
0,4519506,20,0.018461611,362,572,137,0.817288802
0,4521255,340,0.002018163,399,539,390,0.666502947
0,4523665,2,0.057603687,328,63,116,0.551571709
0,4526564,5,0.018461611,25,339,146,0.842247301
0,4527024,985,0.001150468,306,450,195,0.033856722
0,4527870,243,0.002507659,366,72,468,0.62749616
0,4528538,8,0.018461611,337,530,266,0.992639843
0,4529261,5,0.018461611,101,364,222,0.995583906
0,4529490,280,0.002507659,361,429,421,0.711260331
0,4529926,19,0.018461611,190,365,209,0.981844946
0,4530540,19,0.018461611,403,294,316,0.757114818
0,4531297,299,0.002507659,277,558,171,0.707352941
0,4533099,17,0.018461611,332,185,90,0.749019608
0,4533750,13,0.018461611,318,555,329,0.856862745
0,4534009,10,0.018461611,327,467,208,0.990196078
0,4534420,368,0.002507659,368,287,33,0.639352306
0,4534755,113,0.00378782,59,570,64,0.889705882
0,4535008,14,0.018461611,327,651,306,0.71879085
0,4536023,5,0.018461611,95,110,484,0.866176471
0,4536536,288,0.002507659,390,591,287,0.718688845
0,4537158,6,0.018461611,230,75,390,0.994618395
0,4537384,492,0.002507659,192,452,425,0.519080235
0,4537524,19,0.018461611,293,627,360,0.549412916
0,4537779,126,0.00378782,279,379,183,0.718688845
0,4538014,22,0.018461611,141,462,481,0.773972603
0,4538395,5,0.018461611,108,243,493,0.995596869
0,4539661,358,0.002507659,322,331,428,0.617302053
0,4540070,344,0.002507659,141,352,189,0.663894325
0,4540354,16,0.018461611,154,610,118,0.782714844
0,4540632,275,0.002507659,79,525,461,0.712818004
0,4540819,125,0.00378782,124,329,280,0.738258317
0,4541229,23,0.018461611,298,357,169,0.565568143
0,4541826,221,0.003048636,92,312,304,0.647116325
0,4541997,22,0.018461611,101,403,361,0.977857878
0,4542375,1,0.105789111,232,372,75,0.990704501
0,4547149,275,0.002507659,249,580,361,0.731409002
0,4547761,22,0.018461611,306,124,202,0.754892368
0,4547942,384,0.002507659,126,218,374,0.624755382
