Unnamed: 0,parent_job,failure_array,failure_prob,first_failure,last_failure,averag_failure_position,APFD
0,4493957,302,0,62,15,137,0.702955665
0,4494328,507,0,197,116,291,0.338752053
0,4494733,97,0,138,327,32,0.534975369
0,4496449,518,0,151,33,92,0.490147783
0,4498383,370,0,236,227,183,0.637389598
0,4499706,387,0,231,509,108,0.626930502
0,4500641,113,0,83,94,92,0.889162562
0,4501179,110,0,307,115,187,0.892118227
0,4501345,123,0,32,379,89,0.601477833
0,4501556,126,0,187,496,297,0.845320197
0,4501760,113,0,276,305,150,0.881280788
0,4502015,125,0,333,503,280,0.877339901
0,4502231,125,0,56,502,200,0.634975369
0,4502562,143,0,335,253,138,0.859605911
0,4502797,94,0,381,182,38,0.766338259
0,4504078,31,0.066666667,286,335,84,0.969950739
0,4504508,15,0.066666667,12,41,122,0.985714286
0,4505002,489,0,30,317,269,0.518719212
0,4505349,1,0.933333333,163,146,45,0.883218842
0,4505850,667,0,391,283,187,0.344641101
0,4507737,3,0.133333333,254,461,141,0.631915629
0,4511054,2,0.266666667,85,437,277,0.998522167
0,4511474,840,0,389,481,185,0.148622047
0,4511825,499,0,137,98,35,0.508866995
0,4512092,510,0,136,455,31,0.498029557
0,4512491,12,0.066666667,22,375,134,0.988692232
0,4512821,5,0.133333333,133,339,135,0.685960591
0,4513177,511,0,19,441,187,0.497044335
0,4513396,2,0.133333333,243,394,178,0.828576115
0,4513910,595,0,140,168,97,0.364850427
0,4514433,30,0.066666667,215,469,195,0.72955665
0,4517264,1,0.466666667,12,323,269,0.993596059
0,4517487,265,0,176,370,250,0.739408867
0,4518027,1,0.4,219,242,169,0.404515174
0,4518479,1,0.4,320,272,84,0.382019704
0,4518782,225,0,206,201,238,0.778817734
0,4519015,11,0.066666667,320,119,59,0.642927308
0,4519506,749,0,289,230,305,0.220039293
0,4521255,750,0,90,339,280,0.263752456
0,4523665,3,0.2,11,282,299,0.478880157
0,4526564,3,0.266666667,63,96,189,0.635181551
0,4527024,275,0,358,39,296,0.730618253
0,4527870,85,0,349,310,257,0.870199693
0,4528538,4,0.2,339,356,97,0.99656526
0,4529261,4,0.2,326,470,159,0.99656526
0,4529490,455,0,152,418,67,0.530475207
0,4529926,4,0.2,281,168,209,0.99656526
0,4530540,1,0.4,323,163,292,0.747301276
0,4531297,517,0,116,435,80,0.493627451
0,4533099,4,0.133333333,221,43,43,0.746078431
0,4533750,1,0.266666667,337,97,120,0.750490196
0,4534009,3,0.133333333,227,486,121,0.997420021
0,4534420,371,0,162,329,147,0.636408243
0,4534755,5,0.066666667,161,341,132,0.995588235
0,4535008,3,0.133333333,193,318,172,0.803431373
0,4536023,1,0.333333333,277,253,31,0.665686275
0,4536536,523,0,267,170,279,0.488747554
0,4537158,1,0.333333333,34,188,50,0.999510763
0,4537384,609,0,334,498,288,0.404598826
0,4537524,716,0,282,131,94,0.235812133
0,4537779,17,0.066666667,83,358,316,0.633072407
0,4538014,1,0.333333333,394,299,78,0.867906067
0,4538395,1,0.333333333,320,115,30,0.999510763
0,4539661,389,0,332,213,105,0.598240469
0,4540070,242,0,318,157,249,0.76369863
0,4540354,1,0.333333333,381,184,300,0.779134115
0,4540632,242,0,214,408,266,0.624103066
0,4540819,14,0.066666667,370,293,208,0.982387476
0,4541229,3,0.2,285,461,232,0.755063508
0,4541826,577,0,103,425,302,0.308895406
0,4541997,3,0.2,154,128,196,0.997425335
0,4542375,7,0.098831289,153,452,138,0.921722114
0,4547149,503,0,42,13,316,0.508317025
0,4547761,51,0.066666667,197,453,249,0.742661448
0,4547942,514,0,176,430,131,0.497553816
0,4548526,2,0.2,231,483,30,0.618390805
0,4548930,514,0,399,380,218,0.249755621
0,4549184,433,0,55,275,145,0.576810176
0,4549309,711,0,397,450,313,0.293542074
0,4549772,761,0,152,453,261,0.255870841
0,4550154,317,0,331,59,62,0.617595049
0,4551102,127,0,392,312,310,0.747565543
0,4551348,98,0,178,19,64,0.920924574
0,4552118,852,0,49,298,240,0.166829746
0,4552693,2,0.266666667,360,152,237,0.861545988
0,4553135,272,0,314,374,61,0.720391349
0,4553799,287,0,53,332,249,0.719667319
0,4554230,4,0.133333333,144,380,46,0.64791259
0,4554752,270,0,143,340,35,0.534735812
0,4555235,888,0,59,274,260,0.131604697
0,4555987,3,0.2,366,330,135,0.476761252
0,4556433,860,0,323,390,319,0.159824047
0,4557916,1,0.767777778,248,425,307,0.936950147
0,4560807,521,0,217,366,154,0.491202346
0,4562047,157,0,379,346,257,0.677073171
0,4563755,595,0,178,33,25,0.41886608
0,4564194,524,0,376,74,134,0.488269795
0,4564700,518,0,293,435,144,0.494134897
0,4564852,269,0,26,383,197,0.615835777
0,4565169,16,0.066666667,329,367,102,0.819648094
0,4565362,23,0.066666667,332,281,54,0.978005865
0,4565658,734,0,251,319,154,0.282991202
0,4567449,24,0.066666667,372,218,180,0.721896383
0,4567799,313,0,40,304,47,0.694525904
0,4568452,285,0,313,76,223,0.721896383
0,4568718,489,0,72,175,301,0.498459959
0,4569096,299,0,80,282,156,0.707925636
0,4570315,507,0,149,190,233,0.505371094
0,4573580,883,0,151,364,135,0.105160662
0,4574587,30,0,293,149,178,0.97127556
0,4575555,445,0,127,418,172,0.445472249
0,4576535,2,0.333333333,224,207,209,0.321102948
0,4577852,13,0.066666667,306,51,305,0.36368058
0,4578495,683,0,143,42,179,0.237112011
0,4578819,122,0,395,447,40,0.637807377
0,4578828,1,0.266666667,293,399,103,0.741044012
0,4580184,36,0.066666667,224,333,236,0.723735409
0,4580878,4,0.133333333,160,328,286,0.530836576
0,4586278,1,0.6,353,399,303,0.840953307
0,4586559,518,0,370,290,187,0.496595331
0,4586994,806,0,139,261,67,0.174692623
0,4587386,2,0.2,183,197,74,0.747568093
0,4587624,433,0,390,303,183,0.579280156
0,4587895,2,0.2,366,160,311,0.998540856
0,4588180,25,0.033333333,30,295,307,0.976167315
0,4588750,462,0,194,129,142,0.551070039
0,4588933,860,0,193,123,47,0.163910506
0,4589245,490,0,299,144,200,0.524295432
0,4589436,464,0,69,49,65,0.549124514
0,4589778,9,0.066666667,114,188,141,0.756647211
0,4590265,19,0.044444444,117,138,146,0.982003891
0,4590936,1,0.666666667,89,218,77,0.998543689
0,4591330,18,0.066666667,20,81,29,0.982976654
0,4595693,1,0.933333333,92,409,89,0.90111759
0,4596661,898,0,193,93,177,0.126945525
0,4597776,1,0.866666667,185,87,157,0.997579864
0,4598887,10,0.066666667,248,62,277,0.535402522
0,4599333,232,0,33,117,117,0.591569767
0,4599798,4,0.269341236,140,306,164,0.827034884
0,4600315,12,0.133333333,297,190,276,0.711352657
0,4600825,111,0,142,376,177,0.645259939
0,4601270,437,0,303,347,266,0.535299807
0,4601685,3,0.133333333,304,197,98,0.997454175
0,4602941,516,0,230,256,288,0.467054264
0,4603450,516,0,384,98,318,0.500968054
0,4603914,103,0,310,319,259,0.900678295
0,4604119,915,0,258,323,78,0.113856589
0,4604418,615,0,202,203,249,0.205910853
0,4604667,31,0.028571429,380,324,111,0.853682171
0,4605372,49,0.033333333,385,43,84,0.460632462
0,4607673,441,0,36,435,280,0.488856589
0,4609224,4,0.269341236,309,307,81,0.989825581
0,4610585,9,0.2,243,302,32,0.583736689
0,4611059,1,0.266666667,218,363,54,0.944779116
