Unnamed: 0,parent_job,failure_array,failure_prob,first_failure,last_failure,averag_failure_position,APFD
0,4493957,921,1.75E-06,144,691,340,0.093103448
0,4494328,7,0.019155709,56,630,283,0.72134647
0,4494733,33,0.002263639,236,135,390,0.960098522
0,4496449,544,1.21E-05,240,361,84,0.46453202
0,4498383,533,2.76E-05,160,314,332,0.477428852
0,4499706,810,5.02E-06,19,490,487,0.218629344
0,4500641,571,1.15E-05,370,714,104,0.437931034
0,4501179,665,4.50E-06,272,626,164,0.345320197
0,4501345,246,7.00E-05,355,348,248,0.389655172
0,4501556,46,0.000638472,188,602,215,0.581280788
0,4501760,490,2.26E-05,162,373,225,0.362561576
0,4502015,805,6.13E-06,324,451,77,0.207389163
0,4502231,804,6.13E-06,74,30,269,0.172906404
0,4502562,805,6.13E-06,8,322,40,0.207389163
0,4502797,7,0.005678932,352,318,77,0.468144499
0,4504078,123,9.95E-05,116,561,434,0.879310345
0,4504508,123,9.95E-05,326,416,57,0.879310345
0,4505002,542,1.04E-05,334,352,123,0.466502463
0,4505349,1,0.999953985,369,94,175,0.883709519
0,4505850,14,0.01934424,133,231,61,0.986725664
0,4507737,1,0.525114954,181,681,53,0.75708852
0,4511054,3,0.008849429,157,672,269,0.997536946
0,4511474,153,0.000138567,397,162,209,0.743602362
0,4511825,4,0.012654776,322,22,395,0.996551724
0,4512092,560,5.83E-06,276,197,510,0.448768473
0,4512491,360,1.89E-05,273,274,481,0.646509341
0,4512821,4,0.002943062,165,609,426,0.712561576
0,4513177,648,5.44E-06,246,217,38,0.362068966
0,4513396,264,3.79E-05,11,582,158,0.618602362
0,4513910,576,6.15E-06,309,38,246,0.385149573
0,4514433,47,0.000213591,359,518,493,0.602463054
0,4517264,3,0.013260423,6,423,138,0.928078818
0,4517487,75,0.000234434,241,636,430,0.926600985
0,4518027,5,0.0093356,216,716,415,0.753441895
0,4518479,5,0.0093356,271,89,250,0.668965517
0,4518782,316,2.51E-05,167,680,285,0.689162562
0,4519015,33,0.001023966,147,650,511,0.697445972
0,4519506,69,0.000550405,146,293,391,0.679764244
0,4521255,584,2.27E-05,329,380,443,0.426817289
0,4523665,1,0.229708269,216,501,443,0.738212181
0,4526564,26,0.004468777,190,685,254,0.727428852
0,4527024,953,2.97E-06,354,123,32,0.065260059
0,4527870,304,2.76E-05,216,312,423,0.533794163
0,4528538,8,0.006112373,221,435,197,0.992639843
0,4529261,8,0.006112373,344,63,209,0.992639843
0,4529490,715,1.10E-05,51,475,45,0.261880165
0,4529926,8,0.006112373,368,573,282,0.992639843
0,4530540,6,0.050886951,40,322,26,0.640824338
0,4531297,389,1.54E-05,348,106,483,0.619117647
0,4533099,25,0.001846273,392,708,297,0.732352941
0,4533750,3,0.009402459,85,59,425,0.614705882
0,4534009,10,0.00454527,377,513,107,0.990196078
0,4534420,784,3.78E-06,311,226,463,0.23110893
0,4534755,18,0.003266765,329,369,519,0.982843137
0,4535008,4,0.009146612,83,241,120,0.412581699
0,4536023,1,0.908837855,234,438,54,0.773529412
0,4536536,636,1.38E-05,339,514,513,0.378180039
0,4537158,8,0.012136966,267,398,289,0.992661448
0,4537384,143,0.000200545,169,294,317,0.860567515
0,4537524,22,0.00404199,398,566,70,0.951565558
0,4537779,8,0.012792254,138,57,85,0.685420744
0,4538014,8,0.012136966,103,234,348,0.965753425
0,4538395,8,0.012136966,299,337,357,0.992661448
0,4539661,184,0.000144054,158,619,107,0.599217986
0,4540070,184,0.000144054,341,315,356,0.820450098
0,4540354,8,0.012136966,145,438,479,0.830566406
0,4540632,184,0.000144054,386,542,107,0.626386171
0,4540819,15,0.003198478,190,419,94,0.965753425
0,4541229,18,0.001555372,121,625,189,0.745794713
0,4541826,709,6.34E-06,231,469,53,0.171065494
0,4541997,18,0.001555372,153,202,303,0.981977343
0,4542375,3,0.055908997,273,417,148,0.850293542
0,4547149,255,0.00024702,145,625,459,0.750978474
0,4547761,225,0.000320885,28,347,285,0.765655577
0,4547942,461,9.13E-06,9,296,360,0.549412916
0,4548526,1,0.999758542,405,243,387,0.977011494
0,4548930,9,0.003374057,153,259,519,0.77028348
0,4549184,343,1.65E-05,366,560,286,0.664872798
0,4549309,32,0.000544829,390,257,428,0.96037182
0,4549772,121,7.93E-05,152,446,517,0.882093933
0,4550154,493,1.03E-05,31,45,171,0.553050398
0,4551102,39,0.000550772,48,24,74,0.833333333
0,4551348,35,0.000550772,401,217,501,0.972019465
0,4552118,24,0.000814418,29,585,351,0.977005871
0,4552693,2,0.030174898,49,529,163,0.982876712
0,4553135,94,0.000130183,148,574,164,0.903707518
0,4553799,99,0.000130183,16,684,185,0.903620352
0,4554230,1,0.822899044,109,714,68,0.794031311
0,4554752,1,0.874032557,237,627,90,0.986790607
0,4555235,8,0.002885727,383,24,72,0.992661448
0,4555987,2,0.014585053,80,110,353,0.671722114
0,4556433,15,0.002004805,191,201,118,0.985826002
0,4557916,1,0.586042762,260,282,234,0.745356794
0,4560807,725,3.97E-06,218,250,418,0.291788856
0,4562047,346,2.95E-05,206,697,324,0.550243902
0,4563755,288,7.81E-05,389,445,317,0.718963832
0,4564194,830,5.83E-06,328,373,339,0.18914956
0,4564700,871,3.32E-06,156,92,367,0.149071359
0,4564852,331,2.77E-05,283,485,336,0.413000978
0,4565169,12,0.001889971,72,518,55,0.568914956
0,4565362,8,0.003388766,134,307,490,0.992668622
0,4565658,949,1.98E-06,299,399,409,0.072825024
0,4567449,130,0.000145397,236,221,442,0.567122841
0,4567799,353,3.37E-05,287,457,387,0.65542522
0,4568452,35,0.001314572,385,577,88,0.96627566
0,4568718,569,6.70E-06,179,82,90,0.416324435
0,4569096,294,2.00E-05,172,583,208,0.712818004
0,4570315,786,3.12E-06,368,27,263,0.232910156
0,4573580,15,0.000880277,165,189,235,0.70496592
0,4574587,167,0.000107669,268,56,304,0.837877313
0,4575555,95,0.000545527,394,308,445,0.794547225
0,4576535,1,0.973377347,316,251,427,0.619456493
0,4577852,1,0.852907062,120,170,470,0.654359745
0,4578495,50,0.000348528,87,521,175,0.512469636
