,parent_job,failure_array,first_failure,last_failure,averag_failure_position,APFD,parent_job_name
0,4493957,[502],249.7584426,1004.823894,791.402058,0.50591133,20221130-2125
1,4494328,"[502, 657, 855]",597.9799232,863.7611498,676.333899,0.33908046,20221201-0325
2,4494733,"[92, 851]",132.1224469,825.7263349,238.6212005,0.535960591,20221201-1039
3,4496449,[502],235.7423574,403.4813998,633.1469854,0.50591133,20221201-1532
4,4498383,[346],364.4977073,129.5839191,612.330563,0.6609421,20221201-2126
5,4499706,[110],213.6038618,446.9499179,791.0255801,0.894305019,20221202-0328
6,4500641,[100],513.2571006,805.384348,155.5480066,0.901970443,20221202-2132
7,4501179,[100],290.7767339,868.6518216,434.9936347,0.901970443,20221203-0936
8,4501345,"[100, 502, 560]",503.9833401,1024.491351,558.792104,0.618883415,20221203-1528
9,4501556,"[100, 184]",302.0316039,925.1678822,469.3817245,0.860591133,20221203-2130
10,4501760,"[80, 100]",53.03257725,774.4219484,138.9956936,0.91182266,20221204-0248
11,4502015,[100],137.1261791,254.0083218,330.0965132,0.901970443,20221204-0837
12,4502231,"[100, 605]",447.6363578,224.2162858,436.0070129,0.65320197,20221204-1437
13,4502562,[100],254.0283056,149.9547534,260.0667651,0.901970443,20221204-2037
14,4502797,"[92, 100, 502]",59.02061943,211.1963763,567.5539221,0.772577997,20221205-0239
15,4504078,[92],629.2331341,479.3828806,632.2520814,0.909852217,20221205-2040
16,4504508,[92],111.2144366,1023.277509,558.1585162,0.909852217,20221206-0240
17,4505002,[502],437.2769339,1000.245651,414.753942,0.50591133,20221206-0841
18,4505349,"[504, 853, 854, 856, 857, 1019]",280.7967257,718.8660974,185.7949288,0.192018319,20221206-1441
19,4505850,[659],358.785629,206.6492915,688.7015575,0.352507375,20221206-2042
20,4507737,"[88, 769, 964]",229.1571085,782.2038381,411.1293105,0.370850622,20221207-0846
21,4511054,[858],467.543246,76.30152837,275.3492485,0.155172414,20221207-2044
22,4511474,"[858, 859]",589.8392814,544.6920411,759.0142027,0.155511811,20221208-0246
23,4511825,[490],112.4867953,874.176942,335.8566644,0.51773399,20221208-0845
24,4512092,[502],93.87318027,166.1854754,466.3979302,0.50591133,20221208-1445
